page #,job_title,url,companies,requirements,location
1,Administration Clerk/ Admin Assistant,https://hk.jobsdb.com/hk/en/job/administration-clerk-admin-assistant-100003006827281,Parker Cleaning Services Company Limited,"Provide accounting & purchasing and administrativeForm 5 graduate or HKDSE, or aboveAt least 2-3years relevant experience;",Tsim Sha Tsui
1,Accounts Clerk (1 Post),https://hk.jobsdb.com/hk/en/job/accounts-clerk-100003006827278,Kingwood International Enterprises Ltd,Perform general accounting dutiesF.5 or above with LCC IntermediateImmediate available is highly preferred,Tsim Sha Tsui
1,Semi-senior In Our Audit Department,https://hk.jobsdb.com/hk/en/job/semi-senior-in-our-audit-department-100003006827276,Wong Brothers & Co,Accounting graduate finalist of HKICPAMembers / finalists / student member of HKICPAAt least 2 years audit experience,Tsim Sha Tsui
1,Trainee Accountant In Our Audit Department,https://hk.jobsdb.com/hk/en/job/trainee-accountant-in-our-audit-department-100003006827275,Wong Brothers & Co,Accounting graduateHands on PC experienceGood command of English and Chinese,Tsim Sha Tsui
1,Accounting Clerk,https://hk.jobsdb.com/hk/en/job/accounting-clerk-100003006827274,Grow-Up Electronics Ltd,General accounting dutiesDiploma in Accountancy or F.7 aboveMinimum of 1 year accounting experience,Tsim Sha Tsui
1,Accountant,https://hk.jobsdb.com/hk/en/job/accountant-100003006827270,Polytech Technology (H.K.) Company Limited,Diploma / Degree holder in accountingMinimum 4 years working experienceImmediate available preferred,Tsim Sha Tsui
1,Account Clerk,https://hk.jobsdb.com/hk/en/job/account-clerk-100003006827269,"Lo, Wong & Tsui Solicitors",Handle full set accounts;Responsible for daily accounting transactionsF.5 or above with LCCI intermediate or above,Tsim Sha Tsui
2,Wealth & Protection Management Officer （歡迎應屆畢業生／持內地 IANG的畢業生）- 5 Day Work 20k Or Above,https://hk.jobsdb.com/hk/en/job/wealth-protection-management-officer-100003006827265,AIA International Limited,"每月津貼, 傭金, 年終花紅  首年可達 HK$500,000 - $1,000,000提供良好晉升機會 (可於一年晉升管理層)提供多元化客戶講座及活動，為您拓展人際網絡",Central
2,Accountant,https://hk.jobsdb.com/hk/en/job/accountant-100003006827246,UMP Healthcare Holdings Limited,Potential to grow with a listed companyExposure to ChinaGroup consolidation experience,Central
2,"Assistant Supervisor, Billing Service",https://hk.jobsdb.com/hk/en/job/assistant-supervisor-billing-service-100003006827244,UMP Healthcare Holdings Limited,opportunity for leading & growth with a small teammedical or insurance administrationAssertive to figures with good people skill,Central
2,Billing And Financial Assistant (hk$15-20k),https://hk.jobsdb.com/hk/en/job/billing-and-financial-assistant-100003006827230,Pasha Recruitment Limited,Looking after both Hong Kong and Singapore regionsFull set of accounting and audit dutiesGood career prospect & stable working environment,Central
2,Customer Relationship / Support / Fresh Grad / IANG,https://hk.jobsdb.com/hk/en/job/customer-relationship-support-iang-100003006825126,AA Choice Personnel Consultancy Limited,Degree holder / Fresh grad / IANGAccounts Executive / Customer Relation/ Sales ExeFluency in English and Chinese including Mandarin,Central
2,Accounting And Adminstrative Officer/clerk,https://hk.jobsdb.com/hk/en/job/accounting-and-adminstrative-officer-clerk-100003006827198,Chavon Medical Systems Limited,"Medical industry, friendly working environment,Handle full set of accounts, work independently2-yr exp., office near MTR",Central
2,Assistant Accounting Officer,https://hk.jobsdb.com/hk/en/job/assistant-accounting-officer-100003006827189,KBQuest Hong Kong Ltd,"Experience in full set of accountsdata entry and filingFresh graduate, less experience",Central
2,Deputy General Manager Of Finance Department,https://hk.jobsdb.com/hk/en/job/deputy-general-manager-of-finance-department-100003006827179,China Everbright International Limited,Listed Company with five-day work10 years' relevant experienceGrowing business with wide exposure,Central
2,Assistant Accountant,https://hk.jobsdb.com/hk/en/job/assistant-accountant-100003006827166,Mott MacDonald Hong Kong Limited,Degree qualificationMinimum 5 years of working experienceCPA or ACCA chartership,Central
2,Finance And Accounts Trainee / Assistant,https://hk.jobsdb.com/hk/en/job/finance-and-accounts-trainee-assistant-100003006827165,Mott MacDonald Hong Kong Limited,We are a well established multi-national companyYou will join our Buddy-Mentor-Coach SchemeWith excellent career prospect,Central
2,Assistant Treasury Manager - Well-known Listed Co,https://hk.jobsdb.com/hk/en/job/assistant-treasury-manager-well-known-listed-co-100003006827152,Page Personnel,Stable working hours (no OT)Attractive staff benefitUp to 38K,Central
2,"Accountant (hk$35,000 P/m)",https://hk.jobsdb.com/hk/en/job/accountant-100003006827126,Drake Overload Ltd,Opportunity to join a top tier law firmProfessional work environment; dynamic teamCompetitive remuneration and benefits,Central
2,"Accounts & Admin Clerk (japanese Co, 5-day Work, Double Pay)",https://hk.jobsdb.com/hk/en/job/accounts-admin-clerk-100003006827149,"Furuno China Co., Limited",Prepare Accounts Receivable vouchersAssist in payment processingHandle daily office administration works,Central
2,Senior Accounting Manager,https://hk.jobsdb.com/hk/en/job/senior-accounting-manager-100003006827146,Asia Investment Finance Group Limited,Min 8 years experience in CPA firm & HK listed coExperience in handling HK listed co sec mattersPreparing consol financial statements & package,Central
2,Accounting Manager – European Mnc Fashion Brand Retailer (5 Days Work),https://hk.jobsdb.com/hk/en/job/accounting-manager-european-mnc-fashion-brand-retailer-100003006827139,JPC Texson Limited,Degree Accounting/Finance; gd English & ChineseOver 10 yr a/c exp; of which over 2 yr retailingExp in fashion retail is a plus; report to FC,Central
2,Senior Accountant,https://hk.jobsdb.com/hk/en/job/senior-accountant-100003006827129,Company Confidential,Senior AccountantAccountantProperty Management,Central
2,Credit Manager,https://hk.jobsdb.com/hk/en/job/credit-manager-100003006827112,Ingram Micro (China) Ltd,Credit managementIT distributorFast growth industry,Central
2,"Assistant Manager, Management Accounting (40k)",https://hk.jobsdb.com/hk/en/job/assistant-manager-management-accounting-100003006827104,Suits Recruitment Limited,Well-Established Listed Property DeveloperFull Set of Management Accounts + AnalysisCompetitive Benefits and Great Team Culture,Central
2,"Contract Accounts Payable Officer (3 Months, Up To 30k)",https://hk.jobsdb.com/hk/en/job/contract-accounts-payable-officer-100003006827080,Hays,Top-tier global bankImmediately available is preferredSupportive team culture,Central
2,Assistant Accountant /accountant /senior Accountant(5-day Work),https://hk.jobsdb.com/hk/en/job/assistant-accountant-accountant-senior-accountant-100003006827078,Asana (Hong Kong) Limited,salary can up to $30kimmediately available is an advantageFull Set accountings,Central
2,Global Tax Accountant - Corporate Tax,https://hk.jobsdb.com/hk/en/job/global-tax-accountant-corporate-tax-100003006827062,Page Personnel,Double PayVery attractive BonusConglomerate,Central
2,Ar Accountant  - Us Luxury Retail,https://hk.jobsdb.com/hk/en/job/ar-accountant-us-luxury-retail-100003006827057,Page Personnel,Double PayFast track careerStable working hours,Central
2,Financial Analyst,https://hk.jobsdb.com/hk/en/job/financial-analyst-100003006827053,Tricor Services Limited,"5 days work, Study leave, Exam leave, QP, trainingAuthorized Employer of the HKICPA, CPAA & ACCASolid experience in auditing and / or accounting",Central
2,Operation Analyst - Top-tier Investment Bank,https://hk.jobsdb.com/hk/en/job/operation-analyst-top-tier-investment-bank-100003006827048,Page Group Hong Kong,Excellent career progressionWork-life balanceSteep learning curve,Central
2,Junior Accounts Clerk,https://hk.jobsdb.com/hk/en/job/junior-accounts-clerk-100003006826870,PM-International (HK) Limited,1 year or above administrative experienceFull timeTsim Sha Tsui,Central
2,Accountant - Welcome Pure Auditors!,https://hk.jobsdb.com/hk/en/job/accountant-welcome-pure-auditors-100003006827016,Page Personnel,MNC exposureWork-life balanceFriendly working environment,Central
2,Assistant Accounting Managers 35-40k,https://hk.jobsdb.com/hk/en/job/assistant-accounting-managers-100003006827008,M B L Personnel Consultants Co,Qualified Accountant5 year' experience in audit and commercial fieldGood English and Mandarin,Central
2,Senior Payroll Officer,https://hk.jobsdb.com/hk/en/job/senior-payroll-officer-100003006827005,Ralph Lauren,"Min 5 yrs working experience in retail industryKnowledge on payroll for APAC regionsresponsible, detail minded & adaptive to changes",Central
2,Assistant Billing Analyst (ref: Cmijd-0213-abaithk),https://hk.jobsdb.com/hk/en/job/assistant-billing-analyst-100003006827002,China Mobile International Limited,Verify billing reports of carriers/inter-companiesPerform audit for vendor statementsUpdate logs for billing dispute and complaints,Central
2,Accounting & Administrative Officer,https://hk.jobsdb.com/hk/en/job/accounting-administrative-officer-100003006827000,Yang Chau Law Office,5-day work weekExcellent career development opportunityFriendly working environment,Central
3,Senior Account Clerk / Assistant Accountant (salary : 19-21k),https://hk.jobsdb.com/hk/en/job/senior-account-clerk-assistant-accountant-100003006826995,Wonder Job Personnel Limited,"Degree in Accounting,Finance or related disciplineFull set of accounts, prepare financial reportsHandle group year-end audit",Tsim Sha Tsui
3,Account Clerk ($15-20k),https://hk.jobsdb.com/hk/en/job/account-clerk-100003006826991,Manpower Services (Hong Kong) Limited,account clerkcontract role5 days work,Tsim Sha Tsui
3,Accounting Clerk,https://hk.jobsdb.com/hk/en/job/accounting-clerk-100003006826986,United Sources Industrial Enterprises Limited,With accounting knowledge5-day work weekDouble pay,Tsim Sha Tsui
3,Accounting Officer (accounts Receivable),https://hk.jobsdb.com/hk/en/job/accounting-officer-100003006826978,Wonderful Sky Financial Group Limited,"Degree or above in AccountingExcellent analytical, problem-solving1 year of relevant working experiences",Tsim Sha Tsui
3,Accounts Clerk  - Global Manufacturing Company,https://hk.jobsdb.com/hk/en/job/accounts-clerk-global-manufacturing-company-100003006826963,Page Personnel,Reputed companyWorldwide exposureFriendly working environment,Tsim Sha Tsui
3,Accountant,https://hk.jobsdb.com/hk/en/job/accountant-100003006826954,Transnational Logistics Solutions (HK) Limited,"Handle full set of accounts, month end closingDiploma Holder +3 yrs accounting experienceShort notice available is preferred",Tsim Sha Tsui
3,Monitoring Accountant,https://hk.jobsdb.com/hk/en/job/monitoring-accountant-100003006826945,The Law Society of Hong Kong,Qualified CPA with 2 yrs' post-qualification exp.Conduct inspections into law firms' A/C proceduresKnowledge of Solicitors’ Accounts Rules preferred,Tsim Sha Tsui
3,Audit Senior / Supervisor,https://hk.jobsdb.com/hk/en/job/audit-senior-supervisor-100003006826943,FTW & Partners CPA Limited,University graduate with major in AccountancyHKICPA student or memberExamination and study leave for professional exam,Tsim Sha Tsui
3,Accounting Payable Executive,https://hk.jobsdb.com/hk/en/job/accounting-payable-executive-100003006826939,Helu-Trans (HK) Pte Limited,"Art-related exposure, finance, accountFriendly workplaceKnowledge of accounting procedure in AP",Tsim Sha Tsui
3,Accounts Assistant,https://hk.jobsdb.com/hk/en/job/accounts-assistant-100003006826935,G3 Worldwide Hong Kong Limited,Min 2-year working experience in accountingGood PC skillsImmediate is preferred,Tsim Sha Tsui
3,Accounting Officer,https://hk.jobsdb.com/hk/en/job/accounting-officer-100003006826932,Fung Shing Creation Limited,Accountclerkofficer,Tsim Sha Tsui
3,Accounting Officer,https://hk.jobsdb.com/hk/en/job/accounting-officer-100003006826928,The University of Hong Kong,a recognized Higher Diploma or above6 years’ post-qualification experienceannual leave and medical benefits,Tsim Sha Tsui
3,Human Resources And Administrative Officer,https://hk.jobsdb.com/hk/en/job/human-resources-and-administrative-officer-100003006826921,Bindo Labs Limited,Recruiting staffHandle office management and administrative dutiesReview & update various HR policies,Tsim Sha Tsui
3,Accounting Clerk,https://hk.jobsdb.com/hk/en/job/accounting-clerk-100003006826918,JFC Hong Kong Limited,2-3 years experience in AR functionsAR settlement and reportingMonitor credit control,Tsim Sha Tsui
3,Temporary Accounting Assistant,https://hk.jobsdb.com/hk/en/job/temporary-accounting-assistant-100003006826917,Bottega Veneta Hong Kong Ltd,Strong numerical sense with logical thinkingPrepare and review inventory management reportingLiaise inventory transfer between APAC countries,Tsim Sha Tsui
3,Assistant Finance Manager,https://hk.jobsdb.com/hk/en/job/assistant-finance-manager-100003006826887,Helu-Trans (HK) Pte Limited,"Art-related exposure, finance, accountFriendly workplaceMinimum 3 years work experience",Tsim Sha Tsui
3,Risk Manager - 40-60k,https://hk.jobsdb.com/hk/en/job/risk-manager-100003006826891,Spencer Ogden,Sizeable CompanyF&B and FMCG Background preferredAttractive Remuneration Package,Tsim Sha Tsui
3,Corporate Accountant (commercial Focused),https://hk.jobsdb.com/hk/en/job/corporate-accountant-100003006826884,Links International,Attractive career package and fringe benefitsStable working environmentGreat career advancement,Tsim Sha Tsui
3,Account Clerk (part Time),https://hk.jobsdb.com/hk/en/job/account-clerk-100003006826876,Conson Accounting Limited,good in Cantonese and EnglishImmediate availability is highly preferredF.5 or above,Tsim Sha Tsui
3,Business Support Executive,https://hk.jobsdb.com/hk/en/job/business-support-executive-100003006826874,HGC Global Communications Limited,Compiling all products commission reportsPrepare productivity analysisHandle payment & PO issues,Tsim Sha Tsui
3,"Accounting Service (trainee, Junior And Senior Officer) 11-18k",https://hk.jobsdb.com/hk/en/job/accounting-service-100003006826868,Conson Accounting Limited,"Good in Microsoft Excel,Basic Skill in accountingGood command of English, Cantonese & MandarinForm 5 or above with diploma or certificate",Tsim Sha Tsui
3,Assistant Planning Officer – Fresh Grad. Welcomed,https://hk.jobsdb.com/hk/en/job/assistant-planning-officer-100003006826842,HKT Teleservices,Proficient in using PC softwareTo focus on performance tracking & commissionStrong analytical skills,Tsim Sha Tsui
3,Senior Human Resources Assistant (central Payroll),https://hk.jobsdb.com/hk/en/job/senior-human-resources-assistant-100003006826836,The Wharf Group,"monthly payroll calculationfiling tax returns, provident fund administration3-5 years’ relevant experience",Tsim Sha Tsui
3,Senior Business Analyst/ Assistant Finance Manager,https://hk.jobsdb.com/hk/en/job/senior-business-analyst-assistant-finance-manager-100003006826832,Hillman Ross,"Regional exposure, expansion of APAC marketMNC, sizable company with good career pathComprehensive benefit with attractive package",Tsim Sha Tsui
3,Manager – Performance Management & Mis Reporting (banking),https://hk.jobsdb.com/hk/en/job/manager-performance-management-mis-reporting-100003006826823,Eagle Consultants Ltd,Performance measurement & reportingKPI setting & monitoringBudget/forecast,Tsim Sha Tsui
3,Accounting Manager,https://hk.jobsdb.com/hk/en/job/accounting-manager-100003006826800,The Build-Up Plastic and Metal Company Limited,CPA or ACCA qualificationPreferably within the manufacturing industryAbility to build strong team relationships,Tsim Sha Tsui
3,Accountant,https://hk.jobsdb.com/hk/en/job/accountant-100003006826803,Company Confidential,"Degree holder in Finance/Accounting3-5 yrs of experience in manufacturing industryFull set accounts, financial & management report",Tsim Sha Tsui
3,"Senior Manager, Risk",https://hk.jobsdb.com/hk/en/job/senior-manager-risk-100003006826796,Ambition,Leadership RoleGreater China RegionExcellent Career Opportunities,Tsim Sha Tsui
3,Senior Accountant,https://hk.jobsdb.com/hk/en/job/senior-accountant-100003006826756,Bakery Facilities Limited,"Experience in accounting procedures using MYOB accIndependent, self-motivated, capable to handle tigMinimum 10 years’ relevant experience",Tsim Sha Tsui
